tl(s),pix_l,exx_l,eyy_l
0.25794386863708496,[(895.8379562043796, 1102.3036496350364), (896.0, 1152.421755725191), (948.8902195608782, 1109.820359281437), (849.3283898305085, 1102.0169491525423)],0.23147606669908782,-0.05930097864634831
1.2951724529266357,[(894.4433285509326, 1102.6054519368722), (894.6717557251908, 1152.6583969465648), (947.8502994011976, 1109.994011976048), (847.2936170212766, 1102.108510638298)],0.5199714907898612,0.9393374502441487
2.3972795009613037,[(892.8109668109668, 1102.8701298701299), (893.0320150659134, 1153.357815442561), (946.542, 1110.382), (845.4957627118644, 1102.2330508474577)],1.66313427954643,1.430755294500452
3.5216851234436035,[(891.2308823529412, 1102.9911764705882), (891.4248120300751, 1153.7293233082708), (945.3445544554455, 1110.788118811881), (843.447983014862, 1102.4989384288747)],1.8731633961541094,2.284325280382804
4.645924091339111,[(889.562865497076, 1103.157894736842), (889.6474953617811, 1154.3747680890538), (944.1016260162602, 1111.168699186992), (841.5720250521921, 1102.776617954071)],2.604475684008345,2.919763713460344
5.748686075210571,[(887.8982035928144, 1103.2844311377246), (888.1761467889909, 1154.8605504587156), (942.9261477045908, 1111.5528942115768), (839.5498938428875, 1102.9108280254777)],3.3035877884757703,3.769638436004774
6.873772382736206,[(886.4535928143713, 1103.429640718563), (886.5428051001821, 1155.4007285974499), (941.5652173913044, 1111.8814229249012), (837.4693446088795, 1102.985200845666)],4.229855694499651,4.491995770745172
7.99599289894104,[(884.8071216617211, 1103.413946587537), (885.0109689213893, 1155.8848263254113), (940.5019920318725, 1112.0179282868526), (835.6729166666667, 1103.0604166666667)],5.042929682048203,5.227988458362942
9.118526935577393,[(883.2184087363495, 1103.6177847113884), (883.449090909091, 1156.3690909090908), (939.4525252525252, 1112.2585858585858), (833.6289978678038, 1103.1513859275053)],5.825009277605364,6.226224732673402
10.229963302612305,[(881.4627575277337, 1103.5832012678288), (882.0985663082437, 1156.858422939068), (938.3104838709677, 1112.538306451613), (831.8270833333333, 1103.14375)],6.813245029776005,6.888608945038155
11.340011835098267,[(880.1456310679612, 1103.8802588996764), (880.475499092559, 1157.2722323049002), (937.2423625254582, 1112.6700610997964), (829.8153526970955, 1103.2759336099584)],7.373266327922012,7.835809015324502
12.44223141670227,[(878.667215815486, 1103.9126853377265), (879.2517857142857, 1157.6607142857142), (936.3408624229979, 1112.8028747433266), (828.1141649048626, 1103.2642706131078)],8.168966668408428,8.63853981015903
13.563987970352173,[(877.2365771812081, 1103.9261744966443), (877.7375, 1158.0017857142857), (935.2180293501049, 1113.215932914046), (826.3088235294117, 1103.3172268907563)],8.741892324071209,9.32364530721783
14.677420854568481,[(875.6643835616438, 1103.9212328767123), (876.4265486725664, 1158.295575221239), (934.2976939203354, 1113.2536687631027), (824.6216216216217, 1103.2037422037422)],9.551769325908133,10.093429993547677
15.801807880401611,[(873.9307832422586, 1103.9453551912568), (875.1162790697674, 1158.6690518783541), (933.3983050847457, 1113.5169491525423), (822.8026030368763, 1103.416485900217)],9.871391659431804,11.01655927130758
16.918063402175903,[(872.976618705036, 1103.7553956834533), (873.8561403508772, 1159.078947368421), (932.4401709401709, 1113.5534188034187), (821.1633986928105, 1103.2810457516339)],10.955808002442225,11.700221192789773
18.03839612007141,[(871.7862453531599, 1103.9405204460966), (872.5961538461538, 1159.3986013986014), (931.5361702127659, 1113.7574468085106), (819.6269315673289, 1103.158940397351)],11.83425984427695,12.335094357560505
19.13716197013855,[(870.3718689788054, 1104.3063583815028), (871.4718309859155, 1159.7165492957747), (930.9439655172414, 1113.8900862068965), (818.0504385964912, 1103.328947368421)],12.128444831826378,13.323128210892987
20.279685974121094,[(869.3701550387597, 1104.0077519379845), (870.3728222996516, 1160.0801393728223), (930.1744966442953, 1113.758389261745), (816.4840182648402, 1103.3515981735159)],12.806412843223747,14.123112362296775
21.397480726242065,[(868.070707070707, 1103.8323232323232), (869.136524822695, 1160.2695035460993), (929.4104308390023, 1113.9478458049887), (815.0204081632653, 1103.4172335600906)],13.05245126230259,14.825318681286138
22.496154308319092,[(866.8323232323232, 1103.880808080808), (868.1634446397188, 1160.6045694200352), (928.7251732101616, 1113.8660508083142), (813.189448441247, 1103.3405275779376)],13.871272000738255,15.975380591282097
23.599531650543213,[(865.6863543788187, 1104.0061099796335), (867.0543859649123, 1160.9543859649123), (927.9672131147541, 1113.8196721311476), (811.9808612440191, 1103.5239234449762)],14.20220453122476,16.42772249455828
24.719252824783325,[(864.9372469635628, 1104.0344129554655), (866.0156794425087, 1161.432055749129), (927.2511848341233, 1113.6872037914693), (810.731527093596, 1103.6059113300494)],14.98902990564346,16.963057788852986
25.85506248474121,[(863.8074534161491, 1104.1946169772257), (865.0179211469534, 1161.568100358423), (926.6426858513189, 1113.990407673861), (809.3840399002494, 1103.5935162094763)],15.284206779501153,17.704858120668376
26.976892471313477,[(862.603734439834, 1104.0995850622407), (864.1919014084507, 1161.806338028169), (925.8971962616822, 1114.0747663551401), (808.1432291666666, 1103.6614583333333)],15.622844601817665,18.202064143298593
28.102047204971313,[(861.5555555555555, 1104.267094017094), (863.216457960644, 1162.148479427549), (925.1735941320294, 1113.9290953545233), (806.9156010230179, 1103.6649616368286)],16.29623665529232,18.70800816120304
29.214698791503906,[(860.7268907563025, 1104.1008403361345), (862.2766726943942, 1162.5768535262207), (924.6180048661801, 1113.8734793187348), (805.748051948052, 1103.7376623376624)],17.00350391980525,19.32229670191905
